公開可否,開催日,分類,名称,URL,説明文,説明文文字数,サムネイル,補足1テキスト,補足1URL,補足2テキスト,補足2URL,補足3テキスト,補足3URL,補足3URL,メモ
false,2018/11/02,SKILL MTG,SKILL MTG #20181024,https://soundcloud.com/skillmtg/oct2018,2018年10月24日に開催した SKILL MTG の Podcast 配信、第1回,43,20181102_thumb.jpg,Soundcloud,https://soundcloud.com/skillmtg/oct2018,,,,,,
true,2018/09/28,アルス,ARSOMORO (アルス・エレクトロニカおもろーの会) 2018,https://www.facebook.com/events/312679712799750/,アルス・エレクトロニカ フェスティバルに行ってみた人が面白かった話をする会,37,20180928_thumb.jpg,facebook,https://www.facebook.com/events/312679712799750/,connpass,https://uniba.connpass.com/event/99929/,,,,
false,2018/08/14,ゲームアート,#02 ユーニーバー（？）のゲーム開発【その２】,https://www.youtube.com/watch?v=p0AEm6Kifoo,,0,20180814_thumb.jpg,,,,,,,,
false,2018/07/17,ゲームアート,ユーニーバー（？）がゲームを開発する動画,https://www.youtube.com/watch?v=3W9vh22xXuY,,0,20180717_thumb.jpg,,,,,,,,
true,2017/12/28,RDD,Random Digit Dialogue #12,http://rdd.tokyo/rdd12,2017年のRDD全12回ハイライト振り返り,22,20171228_thumb.jpg,rdd.tokyo,http://rdd.tokyo/rdd12,,,,,,
true,2017/12/06,RDD,Random Digit Dialogue #11,http://rdd.tokyo/rdd11,コパイロツト吉岡さん＆ユニバ菊地 総会大反省会,23,20171206_thumb.jpg,rdd.tokyo,http://rdd.tokyo/rdd11,,,,,,
true,2017/11/01,RDD,Random Digit Dialogue #10,http://rdd.tokyo/rdd10,Ars Electronica 特集のふりかえり,24,20171101_thumb.jpg,rdd.tokyo,http://rdd.tokyo/rdd10,,,,,,
true,2017/09/29,RDD、アルス,Random Digit Dialogue #09.1 feat. Ars Electronica Festival 2017レポートと交流会,http://rdd.tokyo/rdd09_1/,Ars Electronica Festival 2017 のレポートと交流会イベント,43,20170929_thumb.jpg,rdd.tokyo,http://rdd.tokyo/rdd09_1/,,,,,,
true,2017/09/11,RDD,Random Digit Dialogue #09,http://rdd.tokyo/rdd09,ライブコーディング・ユニット ecco (GRAIN noir & moxus),43,20170911_thumb.jpg,rdd.tokyo,http://rdd.tokyo/rdd09,,,,,,
true,2017/08/30,RDD,Random Digit Dialogue #08,http://rdd.tokyo/rdd08,,40,20170830_thumb.jpg,rdd.tokyo,http://rdd.tokyo/rdd08,,,,,,
